percentage_diabetes,per_capita_spend,total_spend
9.1520823715,23.333667074289213,152648.85000
9.1520823715,21.893667074289213,152648.85000
9.1520823715,24.064179150106998,157427.86000
9.1520823715,25.065302659737085,163977.21000
9.1520823715,21.026271782329562,137553.87000
9.1520823715,24.429550596147976,159818.12000
9.1520823715,24.421239682054416,159763.75000
9.1520823715,24.14790431060837,157975.59000
9.1520823715,24.56206053194742,160685.00000
9.1520823715,26.149975542647507,171073.14000
9.1520823715,24.233586059309093,158536.12000
9.1520823715,23.669497095689387,154845.85000
9.1520823715,25.871620299602576,169252.14000
7.7402337973,16.693021799047855,266487.40000
7.7402337973,17.39929090453521,277762.28000
7.7402337973,18.008325607617138,287484.91000
7.7402337973,15.597514407416694,248998.72000
7.7402337973,17.735652092207467,283131.95000
7.7402337973,17.28174267100977,275885.74000
7.7402337973,17.162753695815585,273986.20000
7.7402337973,17.180973440240553,274277.06000
7.7402337973,18.542392883988985,296010.76000
7.7402337973,16.387162991731397,261604.67000
7.7402337973,17.353596216487094,277032.81000
7.7402337973,18.55441430719118,296202.67000
7.4979239489,19.745423052157115,153323.21000
7.4979239489,19.354755956213783,150289.68000
7.3992142339,21.054584686147187,311270.98000
7.3992142339,20.893600514069266,308890.99000
7.3992142339,20.931761363636365,309455.16000
7.3992142339,22.37977881493507,330862.65000
7.2986215666,18.03703622713026,247450.10000
7.2986215666,18.356895546322626,251838.25000
7.2986215666,18.71466360521904,256746.47000
7.2986215666,18.19472483417158,249613.43000
7.1367928744,22.080428884482938,211596.75000
7.1367928744,22.71864864864865,217712.81000
7.1367928744,23.541698841698846,225600.10000
7.1367928744,23.755012000417402,227644.28000
7.1336889522,19.975190531572824,291977.36000
7.1336889522,20.50778135048231,299762.24000
7.1336889522,21.05087227201204,307700.60000
7.1336889522,20.705376616268726,302650.49000
7.1136942216,18.950491222147196,112262.71000
7.1136942216,18.55052835921674,109893.33000
7.1136942216,18.536897366644162,109812.58000
7.1136942216,19.450636394328164,115225.57000
7.0341026039,21.2551763703778,424210.81000
7.0341026039,21.402322878043893,427147.56000
7.0341026039,21.830814209840668,435699.39000
7.0341026039,21.12990079166248,421710.56000
7.0109887015,21.140109801821104,315748.68000
7.0109887015,19.743384440278525,294887.19000
7.0109887015,20.067383502945905,299726.44000
7.0109887015,19.987382833422608,298531.55000
6.9266422623,16.98376363265723,333255.41000
6.9266422623,17.194329833859953,337387.14000
6.9266422623,17.31335388849251,339722.63000
6.9266422623,16.546597696463156,324677.34000
6.9114691398,19.646490261920746,292536.24000
6.9114691398,20.05206514439221,298575.25000
6.9114691398,20.294204163868372,302180.70000
6.9114691398,19.819197447951645,295107.85000
6.8372148238,23.761307710520082,301079.53000
6.8372148238,22.6408097229895,286881.70000
